id,business_name,email,password,created_at,updated_at
1,Business 1,business1@example.com,password1,2023-12-11 03:38:30,2023-12-11 03:38:30
2,Business 2,business2@example.com,password2,2024-11-13 03:38:30,2024-11-13 03:38:30
3,Business 3,business3@example.com,password3,2024-03-06 03:38:30,2024-03-06 03:38:30
4,Business 4,business4@example.com,password4,2024-02-19 03:38:30,2024-02-19 03:38:30
5,Business 5,business5@example.com,password5,2024-03-27 03:38:30,2024-03-27 03:38:30
6,Business 6,business6@example.com,password6,2024-04-17 03:38:30,2024-04-17 03:38:30
7,Business 7,business7@example.com,password7,2024-03-30 03:38:30,2024-03-30 03:38:30
8,Business 8,business8@example.com,password8,2024-09-23 03:38:30,2024-09-23 03:38:30
9,Business 9,business9@example.com,password9,2024-02-25 03:38:30,2024-02-25 03:38:30
10,Business 10,business10@example.com,password10,2024-12-06 03:38:30,2024-12-06 03:38:30
11,Business 11,business11@example.com,password11,2024-07-25 03:38:30,2024-07-25 03:38:30
12,Business 12,business12@example.com,password12,2024-06-17 03:38:30,2024-06-17 03:38:30
13,Business 13,business13@example.com,password13,2024-08-09 03:38:30,2024-08-09 03:38:30
14,Business 14,business14@example.com,password14,2024-10-27 03:38:30,2024-10-27 03:38:30
15,Business 15,business15@example.com,password15,2024-01-08 03:38:30,2024-01-08 03:38:30
16,Business 16,business16@example.com,password16,2024-01-04 03:38:30,2024-01-04 03:38:30
17,Business 17,business17@example.com,password17,2024-05-04 03:38:30,2024-05-04 03:38:30
18,Business 18,business18@example.com,password18,2024-01-30 03:38:30,2024-01-30 03:38:30
19,Business 19,business19@example.com,password19,2024-02-19 03:38:30,2024-02-19 03:38:30
20,Business 20,business20@example.com,password20,2024-10-01 03:38:30,2024-10-01 03:38:30
21,Business 21,business21@example.com,password21,2024-07-02 03:38:30,2024-07-02 03:38:30
22,Business 22,business22@example.com,password22,2024-09-22 03:38:30,2024-09-22 03:38:30
23,Business 23,business23@example.com,password23,2024-02-20 03:38:30,2024-02-20 03:38:30
24,Business 24,business24@example.com,password24,2024-09-30 03:38:30,2024-09-30 03:38:30
25,Business 25,business25@example.com,password25,2024-05-08 03:38:30,2024-05-08 03:38:30
26,Business 26,business26@example.com,password26,2024-01-16 03:38:30,2024-01-16 03:38:30
27,Business 27,business27@example.com,password27,2024-07-03 03:38:30,2024-07-03 03:38:30
28,Business 28,business28@example.com,password28,2024-03-05 03:38:30,2024-03-05 03:38:30
29,Business 29,business29@example.com,password29,2024-05-16 03:38:30,2024-05-16 03:38:30
30,Business 30,business30@example.com,password30,2024-03-30 03:38:30,2024-03-30 03:38:30
31,Business 31,business31@example.com,password31,2024-06-14 03:38:30,2024-06-14 03:38:30
32,Business 32,business32@example.com,password32,2024-05-18 03:38:30,2024-05-18 03:38:30
33,Business 33,business33@example.com,password33,2024-07-12 03:38:30,2024-07-12 03:38:30
34,Business 34,business34@example.com,password34,2023-12-21 03:38:30,2023-12-21 03:38:30
35,Business 35,business35@example.com,password35,2024-07-20 03:38:30,2024-07-20 03:38:30
36,Business 36,business36@example.com,password36,2024-08-26 03:38:30,2024-08-26 03:38:30
37,Business 37,business37@example.com,password37,2024-03-18 03:38:30,2024-03-18 03:38:30
38,Business 38,business38@example.com,password38,2024-06-04 03:38:30,2024-06-04 03:38:30
39,Business 39,business39@example.com,password39,2024-05-04 03:38:30,2024-05-04 03:38:30
40,Business 40,business40@example.com,password40,2024-11-03 03:38:30,2024-11-03 03:38:30
41,Business 41,business41@example.com,password41,2024-01-29 03:38:30,2024-01-29 03:38:30
42,Business 42,business42@example.com,password42,2024-09-13 03:38:30,2024-09-13 03:38:30
43,Business 43,business43@example.com,password43,2024-10-02 03:38:30,2024-10-02 03:38:30
44,Business 44,business44@example.com,password44,2024-01-12 03:38:30,2024-01-12 03:38:30
